item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00001,PROD00154,4,57.69,40.0
ITEM000002,ORD00001,PROD00216,5,39.73,0.0
ITEM000003,ORD00001,PROD00015,3,169.65,30.0
ITEM000004,ORD00001,PROD00483,3,310.73,0.0
ITEM000005,ORD00002,PROD00497,3,510.61,0.0
ITEM000006,ORD00003,PROD00236,3,77.13,0.0
ITEM000007,ORD00003,PROD00158,4,137.63,0.0
ITEM000008,ORD00004,PROD00079,-6,11.67,0.0
ITEM000009,ORD00004,PROD00052,7,120.85,50.0
ITEM000010,ORD00005,PROD00362,2,214.8,0.0
ITEM000011,ORD00005,PROD00479,6,72.11,30.0
ITEM000012,ORD00005,PROD00447,7,534.96,0.0
ITEM000013,ORD00005,PROD00343,1,421.16,10.0
ITEM000014,ORD00006,PROD00186,1,618.07,5.0
ITEM000015,ORD00006,PROD00331,8,520.03,0.0
ITEM000016,ORD00006,PROD00223,7,206.24,0.0
ITEM000017,ORD00007,PROD00160,8,605.71,50.0
ITEM000018,ORD00007,PROD00092,2,12.05,0.0
ITEM000019,ORD00007,PROD00352,7,641.65,0.0
ITEM000020,ORD00008,PROD00066,7,193.26,0.0
ITEM000021,ORD00008,PROD00335,7,337.1,0.0
ITEM000022,ORD00008,PROD00218,2,530.74,20.0
ITEM000023,ORD00009,PROD00400,6,53.41,40.0
ITEM000024,ORD00009,PROD00403,7,122.96,0.0
ITEM000025,ORD00009,PROD00346,1,103.76,50.0
ITEM000026,ORD00010,PROD00264,8,360.12,0.0
ITEM000027,ORD00010,PROD00021,8,430.92,0.0
ITEM000028,ORD00011,PROD00130,5,297.89,0.0
ITEM000029,ORD00011,PROD00137,6,61.19,0.0
ITEM000030,ORD00011,PROD00153,2,302.76,0.0
ITEM000031,ORD00012,PROD00128,2,317.69,0.0
ITEM000032,ORD00012,PROD00253,5,119.37,0.0
ITEM000033,ORD00012,PROD00317,8,374.8,0.0
ITEM000034,ORD00012,PROD00020,2,409.32,40.0
ITEM000035,ORD00013,PROD00475,5,249.01,0.0
ITEM000036,ORD00013,PROD00487,2,548.1,0.0
ITEM000037,ORD00013,PROD00060,5,511.29,25.0
ITEM000038,ORD00014,PROD00356,6,679.2,0.0
ITEM000039,ORD00014,PROD00479,3,79.63,25.0
ITEM000040,ORD00015,PROD00466,5,215.36,0.0
ITEM000041,ORD00015,PROD00010,3,71.22,0.0
ITEM000042,ORD00015,PROD00405,6,568.24,0.0
ITEM000043,ORD00015,PROD00364,2,185.5,25.0
ITEM000044,ORD00016,PROD00302,6,358.15,0.0
ITEM000045,ORD00016,PROD00286,6,187.81,10.0
ITEM000046,ORD00016,PROD00237,8,411.39,30.0
ITEM000047,ORD00016,PROD00200,1,137.92,0.0
ITEM000048,ORD00017,PROD00324,6,440.38,25.0
ITEM000049,ORD00018,PROD00156,6,455.84,0.0
ITEM000050,ORD00018,PROD00080,3,144.02,0.0
ITEM000051,ORD00018,PROD00213,1,406.97,0.0
ITEM000052,ORD00019,PROD00121,3,12.28,40.0
ITEM000053,ORD00019,PROD00050,4,62.77,0.0
ITEM000054,ORD00019,PROD00092,7,14.94,0.0
ITEM000055,ORD00019,PROD00112,5,494.12,0.0
ITEM000056,ORD00020,PROD00341,6,344.04,0.0
ITEM000057,ORD00021,PROD00440,8,501.81,40.0
ITEM000058,ORD00021,PROD00474,7,600.71,0.0
ITEM000059,ORD00022,PROD00391,3,340.47,0.0
ITEM000060,ORD00022,PROD00298,7,522.59,25.0
ITEM000061,ORD00022,PROD00115,2,113.26,5.0
ITEM000062,ORD00023,PROD00313,8,44.83,40.0
ITEM000063,ORD00023,PROD00381,7,54.48,10.0
ITEM000064,ORD00023,PROD00235,4,193.95,40.0
ITEM000065,ORD00024,PROD00068,1,368.95,0.0
ITEM000066,ORD00024,PROD00126,8,384.92,20.0
ITEM000067,ORD00024,PROD00257,6,83.65,40.0
ITEM000068,ORD00025,PROD00370,1,112.81,20.0
ITEM000069,ORD00025,PROD00444,8,587.55,0.0
ITEM000070,ORD00025,PROD00214,2,409.46,25.0
ITEM000071,ORD00025,PROD00366,8,183.25,0.0
ITEM000072,ORD00026,PROD00425,1,87.53,25.0
ITEM000073,ORD00026,PROD00323,7,145.25,0.0
ITEM000074,ORD00026,PROD00434,2,250.55,0.0
ITEM000075,ORD00026,PROD00337,4,171.47,0.0
ITEM000076,ORD00027,PROD00169,2,205.85,10.0
ITEM000077,ORD00028,PROD00176,8,14.01,0.0
ITEM000078,ORD00028,PROD00133,1,405.21,0.0
ITEM000079,ORD00028,PROD00148,6,219.68,15.0
ITEM000080,ORD00029,PROD00291,8,255.06,10.0
ITEM000081,ORD00029,PROD00381,3,57.74,0.0
ITEM000082,ORD00030,PROD00132,1,159.26,0.0
ITEM000083,ORD00030,PROD00076,5,494.75,0.0
ITEM000084,ORD00030,PROD00446,7,111.02,50.0
ITEM000085,ORD00030,PROD00330,6,226.63,0.0
ITEM000086,ORD00031,PROD00332,8,287.73,5.0
ITEM000087,ORD00031,PROD00343,6,445.23,0.0
ITEM000088,ORD00031,PROD00077,2,464.76,0.0
ITEM000089,ORD00031,PROD00236,1,93.26,25.0
ITEM000090,ORD00032,PROD00380,1,401.97,0.0
ITEM000091,ORD00032,PROD00169,5,196.77,0.0
ITEM000092,ORD00033,PROD00497,8,636.02,0.0
ITEM000093,ORD00034,PROD00409,4,177.93,10.0
ITEM000094,ORD00034,PROD00021,5,558.32,0.0
ITEM000095,ORD00034,PROD00098,2,240.86,0.0
ITEM000096,ORD00035,PROD00032,4,503.23,0.0
ITEM000097,ORD00035,PROD00238,1,20.42,10.0
ITEM000098,ORD00035,PROD00245,2,351.82,0.0
ITEM000099,ORD00036,PROD00307,1,575.57,5.0
ITEM000100,ORD00036,PROD00369,4,151.28,20.0
ITEM000101,ORD00037,PROD00129,5,344.83,0.0
ITEM000102,ORD00038,PROD00264,5,304.71,0.0
ITEM000103,ORD00038,PROD00175,5,32.27,0.0
ITEM000104,ORD00038,PROD00388,-8,577.11,25.0
ITEM000105,ORD00038,PROD00241,3,152.11,0.0
ITEM000106,ORD00039,PROD00049,8,292.96,10.0
ITEM000107,ORD00039,PROD00100,4,400.12,0.0
ITEM000108,ORD00039,PROD00164,8,692.21,0.0
