order_id,customer_id,order_date,status,region_code
ORD00001,CUST00105,2025-07-22 15:29:42,DELIVERED,US-WEST
ORD00002,CUST00414,2026-06-21 06:32:39,CANCELLED,EU-WEST
ORD00003,CUST00596,2026-06-09 05:18:02,CANCELLED,EU-WEST
ORD00004,CUST00415,2026-06-09 20:17:01,SHIPPED,APAC-EAST
ORD00005,CUST00257,2025-09-25 09:47:56,SHIPPED,US-EAST
ORD00006,CUST00055,2026-03-27 02:23:01,SHIPPED,APAC-EAST
ORD00007,CUST00335,2026-06-04 03:56:48,PLACED,US-EAST
ORD00008,CUST00533,2026-06-17 05:11:54,DELIVERED,APAC-EAST
ORD00009,CUST00268,2026-05-06 18:24:22,PLACED,US-EAST
ORD00010,CUST00122,28-07-2025,CANCELLED,APAC-EAST
ORD00011,CUST00182,2026-06-27 15:29:01,SHIPPED,APAC-EAST
ORD00012,CUST00320,2026-05-10 04:46:29,RETURNED,APAC-EAST
ORD00013,CUST00553,17-03-2026,SHIPPED,LATAM-SOUTH
ORD00014,CUST00270,2025-10-02 14:28:02,DELIVERED,EU-WEST
ORD00015,CUST00029,12-06-2025,DELIVERED,LATAM-SOUTH
ORD00016,CUST00350,2025-09-11 18:03:53,DELIVERED,APAC-EAST
ORD00017,CUST00251,2026-06-02 01:18:08,RETURNED,US-EAST
ORD00018,CUST00068,2025-06-23 19:32:29,SHIPPED,US-EAST
ORD00019,CUST00039,2026-02-28 01:02:48,RETURNED,APAC-EAST
ORD00020,CUST00481,2025-10-10 11:39:31,RETURNED,APAC-EAST
ORD00021,CUST00101,2025-12-02 02:49:36,DELIVERED,APAC-EAST
ORD00022,CUST00348,2025-08-14 09:07:38,CANCELLED,US-WEST
ORD00023,CUST00078,20-04-2026,DELIVERED,EU-WEST
ORD00024,CUST00588,2026-02-17 19:48:15,PLACED,LATAM-SOUTH
ORD00025,CUST00345,2026-05-11 01:02:41,SHIPPED,EU-WEST
ORD00026,CUST00310,2026-01-18 01:28:57,RETURNED,EU-WEST
ORD00027,CUST00412,2025-11-30 07:29:13,RETURNED,US-WEST
ORD00028,CUST00529,2026-03-02 02:07:12,SHIPPED,APAC-EAST
ORD00029,CUST00546,2026-03-23 21:59:06,PLACED,LATAM-SOUTH
ORD00030,CUST00474,2025-10-01 00:00:26,CANCELLED,APAC-EAST
ORD00031,CUST00066,2026-03-14 17:29:57,DELIVERED,US-WEST
ORD00032,CUST00242,2025-09-20 01:13:51,SHIPPED,US-EAST
ORD00033,CUST00318,2026-05-27 13:06:38,CANCELLED,US-EAST
ORD00034,CUST00280,2025-12-30 06:07:58,RETURNED,US-WEST
ORD00035,CUST00044,2026-05-28 09:37:07,PLACED,US-EAST
ORD00036,CUST00306,2026-03-24 23:09:57,PLACED,APAC-EAST
ORD00037,CUST00144,2026-01-03 03:06:15,PLACED,LATAM-SOUTH
ORD00038,CUST00595,2026-06-20 13:02:39,CANCELLED,US-EAST
ORD00039,CUST00126,2025-12-13 10:39:29,RETURNED,APAC-EAST
ORD00040,CUST00242,2025-11-12 01:01:26,PLACED,US-WEST
ORD00041,CUST00282,2026-01-22 22:55:40,PLACED,APAC-EAST
ORD00042,CUST00116,2026-03-16 22:42:48,SHIPPED,EU-WEST
ORD00043,CUST00149,2026-06-13 06:58:55,DELIVERED,US-EAST
ORD00044,CUST00036,2026-03-13 12:47:36,SHIPPED,EU-WEST
ORD00045,CUST00317,2026-04-05 09:53:58,RETURNED,US-WEST
ORD00046,,2026-02-07 09:18:13,DELIVERED,US-EAST
ORD00047,CUST00242,2025-10-14 11:44:56,DELIVERED,APAC-EAST
ORD00048,CUST00281,2026-03-20 05:29:50,CANCELLED,EU-WEST
ORD00049,CUST00103,2026-03-24 13:56:42,PLACED,EU-WEST
ORD00050,CUST00561,2025-11-05 04:16:31,PLACED,US-WEST
ORD00051,,2025-07-24 22:52:32,DELIVERED,EU-WEST
ORD00052,CUST00114,2026-05-01 21:15:21,SHIPPED,LATAM-SOUTH
ORD00053,CUST00328,2026-04-27 07:18:38,DELIVERED,US-WEST
ORD00054,CUST00336,2026-01-08 07:57:17,CANCELLED,EU-WEST
ORD00055,CUST00387,2026-05-16 02:23:40,PLACED,US-EAST
ORD00056,CUST00235,27-12-2025,DELIVERED,US-WEST
ORD00057,CUST00440,2025-07-21 06:22:53,DELIVERED,US-WEST
ORD00058,,2026-06-23 15:50:37,CANCELLED,APAC-EAST
ORD00059,CUST00209,2026-05-16 07:17:51,CANCELLED,APAC-EAST
ORD00060,CUST00212,2026-05-21 17:11:39,CANCELLED,US-WEST
ORD00061,,2025-09-26 08:34:25,RETURNED,APAC-EAST
ORD00062,CUST00379,2026-05-31 12:42:34,PLACED,US-EAST
ORD00063,CUST00332,2026-05-05 05:16:05,CANCELLED,APAC-EAST
ORD00064,CUST00263,2026-03-17 08:08:01,PLACED,EU-WEST
ORD00065,CUST00483,2026-06-01 02:56:17,PLACED,US-EAST
ORD00066,CUST00391,24-03-2026,SHIPPED,LATAM-SOUTH
ORD00067,CUST00184,2026-01-07 21:53:01,DELIVERED,APAC-EAST
ORD00068,CUST00325,2025-10-14 13:16:13,DELIVERED,US-EAST
ORD00069,CUST00131,2026-01-13 09:11:58,CANCELLED,EU-WEST
ORD00070,CUST00270,2026-04-16 01:36:30,RETURNED,EU-WEST
ORD00071,CUST00169,24-02-2026,RETURNED,APAC-EAST
ORD00072,CUST00153,2026-01-03 04:50:35,CANCELLED,EU-WEST
ORD00073,CUST00479,2026-06-15 23:01:23,CANCELLED,EU-WEST
ORD00074,CUST00575,2026-05-26 21:59:45,SHIPPED,US-EAST
ORD00075,CUST00209,2026-05-05 02:56:26,RETURNED,EU-WEST
ORD00076,CUST00600,2025-10-12 21:06:36,RETURNED,US-WEST
ORD00077,CUST00079,2026-02-12 17:37:56,DELIVERED,US-EAST
ORD00078,CUST00125,13-05-2026,DELIVERED,US-WEST
ORD00079,CUST00472,2026-05-17 07:31:53,DELIVERED,LATAM-SOUTH
ORD00080,CUST00338,2026-04-19 12:23:30,CANCELLED,EU-WEST
ORD00081,CUST00583,2025-11-02 18:26:20,DELIVERED,EU-WEST
ORD00082,CUST00073,2026-05-30 21:44:52,CANCELLED,EU-WEST
ORD00083,CUST00409,2026-04-15 03:20:16,CANCELLED,APAC-EAST
ORD00084,CUST00158,2026-01-23 11:16:39,DELIVERED,LATAM-SOUTH
ORD00085,CUST00099,2026-01-23 02:34:34,CANCELLED,APAC-EAST
ORD00086,CUST00577,2025-10-02 12:14:50,DELIVERED,LATAM-SOUTH
ORD00087,CUST00437,2026-04-25 03:05:20,CANCELLED,US-WEST
ORD00088,CUST00159,2026-03-11 12:47:38,RETURNED,US-EAST
ORD00089,CUST00448,2026-03-17 16:24:04,SHIPPED,US-WEST
ORD00090,CUST00308,23-03-2026,DELIVERED,LATAM-SOUTH
ORD00091,CUST00079,2026-02-19 18:07:03,RETURNED,APAC-EAST
ORD00092,CUST00476,2026-06-15 19:27:13,DELIVERED,EU-WEST
ORD00093,,19-04-2026,SHIPPED,APAC-EAST
ORD00094,CUST00427,2025-07-08 06:44:43,RETURNED,APAC-EAST
ORD00095,CUST00461,2026-01-09 23:51:39,SHIPPED,US-WEST
ORD00096,CUST00266,23-05-2025,RETURNED,US-EAST
ORD00097,,2026-05-04 16:45:14,CANCELLED,LATAM-SOUTH
ORD00098,CUST00311,2026-05-08 02:13:28,CANCELLED,EU-WEST
ORD00099,,2025-04-25 00:34:42,SHIPPED,US-EAST
ORD00100,CUST00149,2026-05-08 16:23:13,RETURNED,US-WEST
ORD00101,CUST00475,2026-01-16 14:56:04,PLACED,US-WEST
ORD00102,CUST00456,2026-04-01 18:37:43,CANCELLED,LATAM-SOUTH
ORD00103,CUST00302,2025-12-14 01:22:13,DELIVERED,US-EAST
ORD00104,CUST00443,2026-03-21 01:41:23,RETURNED,LATAM-SOUTH
ORD00105,CUST00038,2026-06-12 13:10:48,RETURNED,LATAM-SOUTH
ORD00106,CUST00500,2026-03-06 17:59:37,PLACED,APAC-EAST
ORD00107,CUST00567,2026-06-10 01:44:20,CANCELLED,APAC-EAST
ORD00108,CUST00356,2025-09-28 15:30:47,SHIPPED,EU-WEST
ORD00109,CUST00481,2025-08-27 16:23:17,SHIPPED,LATAM-SOUTH
ORD00110,CUST00348,2026-05-24 19:49:04,CANCELLED,US-WEST
ORD00111,CUST00400,2026-02-05 23:57:35,SHIPPED,LATAM-SOUTH
ORD00112,CUST00089,2026-01-15 19:58:25,SHIPPED,US-WEST
ORD00113,CUST00104,2026-05-13 08:31:18,SHIPPED,US-WEST
ORD00114,CUST00019,2026-04-02 19:30:14,SHIPPED,US-WEST
ORD00115,,2025-03-07 12:17:47,CANCELLED,US-EAST
