product_id,product_name,category,subcategory,cost_price
PROD00001,Chair 735,Home,Chair,430.92
PROD00002,Non-Fiction 748,Books,Non-Fiction,325.58
PROD00003,Sweater 298,Clothing,Sweater,92.83
PROD00004,Laptop 277,Electronics,Laptop,64.08
PROD00005,Smartwatch 385,Electronics,Smartwatch,69.38
PROD00006,Lamp 438,Home,Lamp,469.06
PROD00007,Laptop 430,Electronics,Laptop,387.96
PROD00008,Rug 908,Home,Rug,182.25
PROD00009,Blender 325,Home,Blender,262.7
PROD00010,Sneakers 656,Clothing,Sneakers,50.51
PROD00011,Jeans 779,Clothing,Jeans,183.59
PROD00012,Socks 643,Clothing,Socks,282.86
PROD00013,Smartphone 784,Electronics,Smartphone,123.97
PROD00014,T-Shirt 798,Clothing,T-Shirt,193.78
PROD00015,Smartwatch 362,Electronics,Smartwatch,145.0
PROD00016,Blender 922,Home,Blender,245.97
PROD00017,Cookware 297,Home,Cookware,45.76
PROD00018,Laptop 891,Electronics,Laptop,8.63
PROD00019,Laptop 786,Electronics,Laptop,110.52
PROD00020,Fiction 310,Books,Fiction,352.86
PROD00021,History 936,Books,History,374.71
PROD00022,T-Shirt 570,Clothing,T-Shirt,23.75
PROD00023,Smartphone 282,Electronics,Smartphone,281.25
PROD00024,Jacket 517,Clothing,Jacket,316.96
PROD00025,Sci-Fi 117,Books,Sci-Fi,63.56
PROD00026,Camera 837,Electronics,Camera,379.2
PROD00027,   caMeRa 968 ,Electronics,Camera,399.4
PROD00028,Cookware 247,Home,Cookware,444.05
PROD00029,Lamp 666,Home,Lamp,74.98
PROD00030,Smartphone 686,Electronics,Smartphone,270.89
PROD00031,Headphones 315,Electronics,Headphones,452.26
PROD00032,Chair 522,Home,Chair,426.47
PROD00033,Jeans 288,Clothing,Jeans,418.2
PROD00034,T-Shirt 285,Clothing,T-Shirt,285.81
PROD00035,Tablet 572,Electronics,Tablet,41.21
PROD00036,Headphones 200,Electronics,Headphones,292.39
PROD00037,Table 231,Home,Table,121.09
PROD00038,Blender 171,Home,Blender,162.3
PROD00039,Sci-Fi 731,Books,Sci-Fi,348.26
PROD00040,Socks 680,Clothing,Socks,161.58
